ID	TEXT	ANN1	ANN2	ANN1 (neutral)	ANN2 (neutral)	ANN1 (anger)	ANN2 (anger)	ANN1 (disgust)	ANN2 (disgust)	ANN1 (fear)	ANN2 (fear)	ANN1 (joy)	ANN2 (joy)	ANN1 (sadness)	ANN2 (sadness)	ANN1 (surprise)	ANN2 (surprise)
song1-01	In the year of 2525	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-02	If man is still alive	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-03	If woman can survive	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-04	They may find	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-05	In the year of 3535	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-06	"Can't tell the truth, can't tell no lie"	fear	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-07	"Everything you think, do and say"	fear	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-08	Is in the pill you took today	fear	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-09	In the year of 4545	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-10	"Won't need no teeth, won't need your eyes"	disgust	fear	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-11	Won't find a thing to do	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-12	Nobody's gonna look at you	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-13	In the year of 5555	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-14	Your arms are hanging limp at your side	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-15	Your legs have nothing to do	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-16	Some machines doin' that for you	disgust	neutral	noneutral	neutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-17	In the year of 6565	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-18	"Won't need no husband, won't need no wife"	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song1-19	"You'll pick your sons, pick your daughters too"	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song1-20	From the bottom of a long glass tube wouwo	disgust	sadness	noneutral	noneutral	noanger	noanger	disgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song1-21	In the year of 7510	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-22	If god is commin' he should make it by then	sadness	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song1-23	Maybe he'll look around and say:	neutral	fear	neutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-24	Now it's time for the judgement day!	anger	fear	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-25	In the year of 8510	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-26	God is gonna shake his mighty hand	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-27	He'll leave a salient place where man has been	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-28	Or tear it down and start again wouwo	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-29	In the year of 9595	neutral	neutral	neutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-30	I'm wondering if man is gonna be alive	sadness	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song1-31	He's taken everything earth had to give	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-32	And he's put back nothing wouwo	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-33	Now it's been 10.000 years man has cried a million tears	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song1-34	For what he never knew now man's dream is through	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song1-35	But through eternal light the twinklin' of starlight	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song1-36	So very faw away now it's night to yesterday	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-01	When I look into your eyes	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-02	I can see a love restrained	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-03	But darlin' when I hold you	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-04	Don't you know I feel the same	joy	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song2-05	Cause nothin' lasts forever	sadness	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-06	And we both know hearts can change	sadness	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-07	And it's hard to hold a candle	sadness	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-08	In the cold November rain	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-09	We've been through this such a long long time	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-10	Just tryin' to kill the pain	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-11	But lovers always come and lovers always go	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-12	An no one's really sure who's lettin' go today	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-13	Walking away	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-14	If we could take the time	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-15	to lay it on the line	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-16	I could rest my head	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song2-17	Just knowin' that you were mine	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-18	All mine	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-19	So if you want to love me	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-20	then darlin' don't refrain	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-21	Or I'll just end up walkin'	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-22	In the cold November rain	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-23	Do you need some time...on your own	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-24	Do you need some time...all alone	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-25	Everybody needs some time...	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-26	on their own	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-27	Don't you know you need some time...all alone	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-28	I know it's hard to keep an open heart	sadness	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-29	When even friends seem out to harm you	sadness	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song2-30	But if you could heal a broken heart	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-31	Wouldn't time be out to charm you	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-32	Sometimes I need some time…	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-33	on my own	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-34	Sometimes I need some time...all alone	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-35	Everybody needs some time...	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-36	on their own	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-37	Don't you know you need some time...all alone	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song2-38	And when your fears subside	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song2-39	And shadows still remain	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song2-40	I know that you can love me	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-41	When there's no one left to blame	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song2-42	So never mind the darkness	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-43	We still can find a way	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song2-44	Cause nothin' lasts forever	joy	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song2-45	Even cold November rain	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song2-46	Don't ya think that you need somebody	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song2-47	Don't ya think that you need someone	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song2-48	Everybody needs somebody	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song2-49	You're not the only one	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song2-50	You're not the only one	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-01	"My radio, believe me, I like it loud"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-02	I'm the man with a box that can rock the crowd	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-03	"Walkin' down the street, to the hardcore beat"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-04	While my JVC vibrates the concrete	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-05	I'm sorry if you can't understand	anger	sadness	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-06	But I need a radio inside my hand	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-07	Don't mean to offend other citizens	fear	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-08	But I kick my volume way past 10	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-09	"My story is rough, my neighbourhood is tough"	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song3-10	"But I still sport gold, and I'm out to crush"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-11	"My name is Cool J, I devastate the show"	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-12	But I couldn't survive without my radio	fear	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	nofear	nojoy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-13	Terrorising my neighbours with the heavy bass	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-14	I keep the suckas in fear by the look on my face	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-15	My radio's bad from the Boulevard	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-16	I'm a hip-hop gangster and my name is Todd	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-17	"Just stimulated by the beat, bust out the rhyme"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-18	Get fresh batteries if it won't rewind	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-19	"Cos I play everyday, even on the subway"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-20	I woulda got a summons but I ran away	joy	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-21	"I'm the leader of the show, keepin' you on the go"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-22	But I know I can't live without my radio	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-23	Suckas on my jock when I walk down the block	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-24	I really don't care if you're jealous or not	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-25	"Cos I make the songs, you sing along"	anger	joy	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-26	And your radio's def when my record's on	anger	joy	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-27	"So get off the wall, become involved"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-28	All your radio problems have now been solved	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-29	My treacherous beats make ya ears respond	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-30	And my radio's loud like a fire alarm	joy	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-31	"The floor vibrates, the walls cave in"	joy	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-32	The bass makes my eardrums seem thin	joy	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	fear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-33	"Def sounds in my ride, yes the front and back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-34	"You would think it was a party, not a Cadillac"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-35	"Cos I drive up to the ave, with the windows closed"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-36	"And my bass is so loud, it could rip your clothes"	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-37	My stereo's thumpin' like a savage beast	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-38	The level on my power meter will not decrease	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-39	"Suckas get mad, cos the girlies scream"	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-40	And I'm still gettin' paid while you look at me mean	anger	joy	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-41	"I'm the leader of the show, keepin' you on the go"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-42	But I know I can't live without my radio	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-43	"I'm the leader of the show, keepin' you on the go"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-44	And I know I can't live without my radio	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-45	"Don't touch that dial, I'll be upset"	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-46	Might go into a fit and rip off your neck	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
